epoch,train_loss,val_loss
1,0.8930993495717986,0.6584567394521501
2,0.561354225629489,0.43312510034873686
3,0.3233874693249285,0.18444977086377964
4,0.2130672121903577,0.16291659027495214
5,0.23094997291685732,0.2097382306235249
6,0.16694080032734782,0.13192232275046356
7,0.13510212498733112,0.17044563291780387
8,0.13475099487801634,0.1566817533629573
9,0.13717502852880098,0.15257956488018676
10,0.11265387448433908,0.125324337996029
11,0.11804243175527826,0.12179686007602075
12,0.10644714514510335,0.14257524310416017
13,0.10250777819436935,0.1402015798894162
14,0.08952371649381191,0.13390073618188805
15,0.08712765113100451,0.13132272244780815
16,0.09039051718425693,0.11471696048955343
17,0.08725222609719994,0.12194120570651809
18,0.0800609720214021,0.11670219782201519
19,0.0818246821406667,0.12649673240523884
20,0.08180672092386455,0.11172290956444315
21,0.07491357247058675,0.10744826793316987
22,0.0716756029315907,0.10994683177657058
23,0.07029169443343172,0.11218801568984021
24,0.06864723124008462,0.11089599235232202
25,0.07094165217767986,0.1110710678137472
