epoch,train_loss,val_loss
1,1.1079585609016143,0.9475607446142055
2,0.9017351033412456,0.8734079440937766
3,0.8184480457886856,0.8060225900969927
4,0.777017357889121,0.8332629368107363
5,0.7260944710517917,0.7289847257938734
6,0.7106126749376528,0.6671162713345261
7,0.6200273102624952,0.6214600648264677
8,0.5869906152833356,0.6588115108247883
9,0.5246362809824282,0.5340099897020812
10,0.4413571303982211,0.4541890991304159
11,0.37786012011979736,0.698158475982992
12,0.3371312277452218,0.43600620488661085
13,0.30513181344759144,0.278921369861408
14,0.22488302579595232,0.27816361866880907
15,0.2146622896146525,0.21698322562623962
16,0.19928329250732962,0.23880036632922044
17,0.1988106514969455,0.20242299234596736
18,0.17994136829116425,0.2413448292615335
19,0.14428055886767885,0.2863283857451713
20,0.14325855058068532,0.20311691566421514
21,0.14407024414222022,0.19334408333826333
22,0.1306999896843605,0.17720858612177703
23,0.14918357448725036,0.2059273733174541
24,0.14674225154774323,0.40788340042495863
25,0.16865538294488136,0.2197978711947694
26,0.13116708432017535,0.15163497987128638
27,0.14335610045275154,0.16457423362317697
28,0.11747772876618136,0.1541807594107865
29,0.112327641729231,0.1771340715592798
30,0.1188563207777799,0.1655804427765027
